oct,1024.00,27.00,2147483648.00
oct,1024.00,89.00,2147483648.00
oct,1024.00,75.00,2147483648.00
oct,1024.00,90.00,2147483648.00
oct,1024.00,67.00,2147483648.00
oct,1024.00,35.00,2147483648.00
oct,1024.00,54.00,2147483648.00
oct,1024.00,26.00,2147483648.00
oct,1024.00,58.00,2147483648.00
oct,1024.00,58.00,2147483648.00
oct,1024.00,85.00,2147483648.00
oct,1024.00,62.00,2147483648.00
oct,1024.00,29.00,2147483648.00
oct,1024.00,33.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,54.00,2147483648.00
oct,1024.00,71.00,2147483648.00
oct,1024.00,91.00,2147483648.00
oct,1024.00,5.00,2147483648.00
oct,1024.00,16.00,2147483648.00
oct,1024.00,33.00,2147483648.00
oct,1024.00,14.00,2147483648.00
oct,1024.00,24.00,2147483648.00
oct,1024.00,29.00,2147483648.00
oct,1024.00,13.00,2147483648.00
oct,1024.00,24.00,2147483648.00
oct,1024.00,28.00,2147483648.00
oct,1024.00,32.00,2147483648.00
oct,1024.00,4.00,2147483648.00
oct,1024.00,2.00,2147483648.00
oct,1024.00,5.00,2147483648.00
oct,1024.00,4.00,2147483648.00
oct,1024.00,10.00,2147483648.00
oct,1024.00,5.00,2147483648.00
oct,1024.00,0.00,2147483648.00
oct,1024.00,4.00,2147483648.00
oct,1024.00,1.00,2147483648.00
oct,1024.00,2.00,2147483648.00
oct,1024.00,7.00,2147483648.00
oct,1024.00,5.00,2147483648.00
oct,1024.00,12.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,32.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,26.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,32.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,32.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,27.00,2147483648.00
oct,1024.00,28.00,2147483648.00
oct,1024.00,29.00,2147483648.00
oct,1024.00,32.00,2147483648.00
oct,1024.00,29.00,2147483648.00
oct,1024.00,32.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,29.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,29.00,2147483648.00
oct,1024.00,30.00,2147483648.00
oct,1024.00,30.00,2147483648.00
oct,1024.00,30.00,2147483648.00
oct,1024.00,32.00,2147483648.00
oct,1024.00,32.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,32.00,2147483648.00
oct,1024.00,29.00,2147483648.00
oct,1024.00,31.00,2147483648.00
oct,1024.00,26.00,2147483648.00
oct,1024.00,39.00,58.00
oct,1024.00,43.00,58.00
oct,1024.00,35.00,58.00
oct,1024.00,40.00,58.00
oct,1024.00,36.00,58.00
oct,1024.00,35.00,58.00
oct,1024.00,32.00,58.00
oct,1024.00,37.00,58.00
oct,1024.00,38.00,58.00
oct,1024.00,40.00,58.00
oct,1024.00,46.00,58.00
oct,1024.00,39.00,58.00
oct,1024.00,44.00,58.00
oct,1024.00,36.00,58.00
oct,1024.00,45.00,58.00
oct,1024.00,34.00,58.00
oct,1024.00,36.00,58.00
oct,1024.00,36.00,58.00
oct,1024.00,36.00,58.00
oct,1024.00,36.00,58.00
oct,1024.00,38.00,58.00
oct,1024.00,54.00,58.00
oct,1024.00,53.00,58.00
oct,1024.00,34.00,60.00
oct,1024.00,29.00,60.00
oct,1024.00,30.00,60.00
oct,1024.00,32.00,60.00
oct,1024.00,30.00,60.00
oct,1024.00,30.00,60.00
oct,1024.00,30.00,60.00
oct,1024.00,28.00,60.00
oct,1024.00,30.00,60.00
oct,1024.00,31.00,60.00
oct,1024.00,27.00,60.00
oct,1024.00,31.00,60.00
oct,1024.00,30.00,60.00
oct,1024.00,25.00,60.00
oct,1024.00,31.00,60.00
oct,1024.00,26.00,61.00
oct,1024.00,32.00,61.00
oct,1024.00,27.00,61.00
oct,1024.00,28.00,61.00
oct,1024.00,27.00,61.00
oct,1024.00,31.00,61.00
oct,1024.00,31.00,61.00
oct,1024.00,31.00,61.00
oct,1024.00,31.00,61.00
